$GNRMC,061443.50,A,3355.40192,N,11818.43288,W,0.377,,061021,,,"A*70
"
$GNRMC,061443.60,A,3355.40192,N,11818.43287,W,0.313,,061021,,,"A*7E
"
$GNRMC,061443.70,A,3355.40192,N,11818.43290,W,0.112,,061021,,,"A*7A
"
$GNRMC,061444.00,A,3355.40195,N,11818.43281,W,0.597,,061021,,,"A*74
"
$GNRMC,061444.10,A,3355.40195,N,11818.43274,W,0.937,82.37,061021,,,"A*59
"
$GNRMC,061444.20,A,3355.40197,N,11818.43272,W,1.033,78.73,061021,,,"A*57
"
$GNRMC,061444.30,A,3355.40197,N,11818.43275,W,0.801,78.67,061021,,,"A*5C
"
$GNRMC,061444.40,A,3355.40198,N,11818.43274,W,0.816,80.11,061021,,,"A*55
"
$GNRMC,061444.50,A,3355.40199,N,11818.43273,W,0.868,79.47,061021,,,"A*5E
"
$GNRMC,061444.60,A,3355.40201,N,11818.43273,W,0.812,77.39,061021,,,"A*55
"
$GNRMC,061444.70,A,3355.40201,N,11818.43274,W,0.826,79.20,061021,,,"A*52
"
$GNRMC,061444.80,A,3355.40202,N,11818.43275,W,0.682,76.43,061021,,,"A*55
"
$GNRMC,061444.90,A,3355.40200,N,11818.43280,W,0.361,,061021,,,"A*7C
"
$GNRMC,061445.00,A,3355.40200,N,11818.43280,W,0.292,,061021,,,"A*79
"
$GNRMC,061445.10,A,3355.40201,N,11818.43284,W,0.154,,061021,,,"A*74
"
$GNRMC,061445.20,A,3355.40202,N,11818.43286,W,0.161,,061021,,,"A*70
"
$GNRMC,061445.30,A,3355.40203,N,11818.43291,W,0.197,,061021,,,"A*7F
"
$GNRMC,061445.40,A,3355.40202,N,11818.43294,W,0.098,,061021,,,"A*72
"
$GNRMC,061445.50,A,3355.40201,N,11818.43295,W,0.112,,061021,,,"A*72
"
$GNRMC,061445.60,A,3355.40201,N,11818.43295,W,0.134,,061021,,,"A*75
"
$GNRMC,061445.70,A,3355.40201,N,11818.43296,W,0.015,,061021,,,"A*75
"
$GNRMC,061445.80,A,3355.40201,N,11818.43297,W,0.069,,061021,,,"A*70
"
$GNRMC,061445.90,A,3355.40201,N,11818.43299,W,0.061,,061021,,,"A*77
"
$GNRMC,061446.00,A,3355.40201,N,11818.43299,W,0.090,,061021,,,"A*73
"
$GNRMC,061446.10,A,3355.40200,N,11818.43299,W,0.019,,061021,,,"A*72
"
$GNRMC,061446.20,A,3355.40200,N,11818.43299,W,0.129,,061021,,,"A*73
"
$GNRMC,061446.30,A,3355.40200,N,11818.43299,W,0.135,,061021,,,"A*7F
"
$GNRMC,061446.40,A,3355.40201,N,11818.43302,W,0.123,,061021,,,"A*7D
"
$GNRMC,061446.50,A,3355.40201,N,11818.43303,W,0.152,,061021,,,"A*7B
"
$GNRMC,061446.60,A,3355.40201,N,11818.43304,W,0.157,,061021,,,"A*7A
"
$GNRMC,061446.70,A,3355.40202,N,11818.43308,W,0.073,,061021,,,"A*73
"
$GNRMC,061446.80,A,3355.40202,N,11818.43309,W,0.107,,061021,,,"A*7F
"
$GNRMC,061446.90,A,3355.40202,N,11818.43312,W,0.022,,061021,,,"A*72
"
$GNRMC,061447.00,A,3355.40202,N,11818.43314,W,0.067,,061021,,,"A*7D
"
$GNRMC,061447.10,A,3355.40201,N,11818.43313,W,0.038,,061021,,,"A*72
"
$GNRMC,061447.20,A,3355.40201,N,11818.43312,W,0.121,,061021,,,"A*79
"
$GNRMC,061447.30,A,3355.40202,N,11818.43310,W,0.304,,061021,,,"A*7C
"
$GNRMC,061447.40,A,3355.40202,N,11818.43309,W,0.388,,061021,,,"A*77
"
$GNRMC,061447.50,A,3355.40201,N,11818.43309,W,0.359,,061021,,,"A*79
"
$GNRMC,061447.60,A,3355.40202,N,11818.43310,W,0.314,,061021,,,"A*78
"
$GNRMC,061447.70,A,3355.40202,N,11818.43312,W,0.326,,061021,,,"A*7A
"
$GNRMC,061447.80,A,3355.40203,N,11818.43316,W,0.147,,061021,,,"A*75
"
$GNRMC,061447.90,A,3355.40204,N,11818.43316,W,0.321,,061021,,,"A*71
"
$GNRMC,061448.00,A,3355.40204,N,11818.43313,W,0.549,,061021,,,"A*7A
"
$GNRMC,061448.10,A,3355.40205,N,11818.43309,W,0.796,76.13,061021,,,"A*5C
"
$GNRMC,061448.20,A,3355.40206,N,11818.43306,W,0.900,77.21,061021,,,"A*52
"
$GNRMC,061448.30,A,3355.40205,N,11818.43308,W,0.592,,061021,,,"A*74
"
$GNRMC,061448.40,A,3355.40204,N,11818.43314,W,0.220,,061021,,,"A*71
"
$GNRMC,061448.50,A,3355.40204,N,11818.43315,W,0.179,,061021,,,"A*7E
"
$GNRMC,061448.60,A,3355.40204,N,11818.43314,W,0.253,,061021,,,"A*77
"
$GNRMC,061448.70,A,3355.40204,N,11818.43312,W,0.485,,061021,,,"A*7D
"
$GNRMC,061448.80,A,3355.40205,N,11818.43312,W,0.332,,061021,,,"A*78
"
$GNRMC,061448.90,A,3355.40205,N,11818.43314,W,0.205,,061021,,,"A*7A
"
$GNRMC,061449.00,A,3355.40206,N,11818.43317,W,0.091,,061021,,,"A*7D
"
$GNRMC,061449.10,A,3355.40207,N,11818.43322,W,0.199,,061021,,,"A*72
"
$GNRMC,061449.20,A,3355.40207,N,11818.43321,W,0.111,,061021,,,"A*72
"
$GNRMC,061449.30,A,3355.40208,N,11818.43321,W,0.134,,061021,,,"A*7B
"
$GNRMC,061449.40,A,3355.40210,N,11818.43319,W,0.237,,061021,,,"A*7E
"
$GNRMC,061449.50,A,3355.40211,N,11818.43317,W,0.210,,061021,,,"A*75
"
$GNRMC,061449.60,A,3355.40211,N,11818.43316,W,0.231,,061021,,,"A*74
"
$GNRMC,061449.70,A,3355.40212,N,11818.43316,W,0.200,,061021,,,"A*74
"
$GNRMC,061449.80,A,3355.40212,N,11818.43315,W,0.369,,061021,,,"A*76
"
$GNRMC,061449.90,A,3355.40214,N,11818.43315,W,0.315,,061021,,,"A*7A
"
$GNRMC,061450.00,A,3355.40214,N,11818.43315,W,0.476,,061021,,,"A*79
"
